addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x40120d	0	0	0	0	0	0	1	0	1	1	0	0
0x401260	0	0	0	0	0	0	0	0	1	0	0	1
0x4012a0	0	0	0	0	0	0	0	0	0	0	0	1
0x4012e0	1	0	0	0	0	1	0	1	0	0	0	1
0x401320	0	0	0	0	0	0	0	0	0	0	0	1
0x401350	0	0	0	0	0	0	0	0	0	0	0	1
0x401380	0	0	0	0	0	0	0	0	0	0	0	1
0x40139e	0	0	1	0	0	0	0	0	0	0	0	0
0x4013c0	0	0	0	0	0	0	0	0	0	0	0	1
0x401420	0	0	0	0	0	0	0	0	0	0	0	1
0x401440	0	0	0	0	0	0	0	0	0	0	0	1
0x401470	0	0	0	0	0	0	0	0	1	0	0	1
0x40147e	0	0	0	0	0	0	1	0	1	0	0	0
0x401490	0	0	0	0	0	0	1	1	1	0	0	1
0x4014b0	0	0	0	0	0	0	0	0	1	0	0	1
0x401500	0	0	0	0	0	0	0	0	0	0	0	1
0x401590	0	0	0	0	0	0	0	0	0	0	0	1
0x4015c0	0	0	0	0	0	0	0	0	0	0	0	1
0x401626	0	0	0	0	0	0	1	1	1	0	0	0
0x401650	0	0	0	0	0	0	0	0	1	0	0	1
0x4016a0	0	0	0	0	0	0	0	0	0	0	0	1
0x4016d0	0	0	0	0	0	0	0	1	0	0	0	1
0x401730	0	0	0	0	0	0	0	0	0	0	0	1
0x401760	0	0	0	0	0	0	0	0	0	0	0	1
0x4017c0	0	0	0	0	0	0	0	0	0	0	0	1
0x4017e0	0	0	0	0	0	0	0	0	0	0	0	1
0x4017f0	0	0	0	0	0	0	0	0	1	0	0	1
0x401820	0	0	0	0	0	0	0	0	1	0	0	1
0x401830	0	0	0	0	0	0	0	0	1	0	0	1
0x401842	0	0	0	0	0	0	1	0	2	0	0	0
0x401859	0	0	0	0	0	0	1	0	2	0	0	0
0x401890	0	0	0	0	0	0	0	0	1	0	0	1
0x4018b0	0	0	0	0	0	0	0	0	2	0	0	1
