binary,start,end,name
sort_stripped,4198400,4198423,_DT_INIT
sort_stripped,4198432,4198444,FUN_00401020
sort_stripped,4198448,4198454,putchar
sort_stripped,4198464,4198470,printf
sort_stripped,4198528,4198652,FUN_00401080
sort_stripped,4198656,4198690,entry
sort_stripped,4198704,4198705,FUN_00401130
sort_stripped,4198720,4198753,FUN_00401140
sort_stripped,4198768,4198817,FUN_00401170
sort_stripped,4198832,4198865,_FINI_0
sort_stripped,4198880,4198886,_INIT_0
sort_stripped,4198912,4199029,FUN_00401200
sort_stripped,4199032,4199041,_DT_FINI
sort_stripped,4214784,4214785,putchar
sort_stripped,4214792,4214793,__libc_start_main
sort_stripped,4214800,4214801,printf
sort_stripped,4214808,4214809,__gmon_start__
