file	agree	miss	extra
O3_rosetta_v06_00064_Angles-geometric-normalization-and-conversion_angles-geometric-normalization-and-conversion_stripped	0	28	26
O3_rosetta_v06_00120_Averages-Median_averages-median-1_stripped	11	7	1
O3_rosetta_v06_00014_24-game_24-game_stripped	22	26	49
O3_rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped	11	15	29
O3_rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped	13	17	5
O3_rosetta_v06_00471_Extensible-prime-generator_extensible-prime-generator-1_stripped	12	13	27
O3_rosetta_v06_01204_Return-multiple-values_return-multiple-values-2_stripped	9	6	1
O3_rosetta_v06_00043_Ackermann-function_ackermann-function-1_stripped	10	5	26
O3_rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped	20	15	88
O3_rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped	13	9	21
O3_rosetta_v06_00924_Munching-squares_munching-squares_stripped	10	15	9
O3_rosetta_v06_01059_Permutations-Derangements_permutations-derangements_stripped	14	9	71
O3_rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped	14	19	21
O3_rosetta_v06_00764_Last-Friday-of-each-month_last-friday-of-each-month_stripped	8	8	7
O3_rosetta_v06_01597_Write-float-arrays-to-a-text-file_write-float-arrays-to-a-text-file-1_stripped	8	10	4
O3_rosetta_v06_01489_Tic-tac-toe_tic-tac-toe_stripped	14	13	58
O3_rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire_stripped	8	3	1
O3_rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped	12	15	11
O3_rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped	13	11	63
O3_rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped	12	15	19
O3_rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped	9	10	4
O3_rosetta_v06_01498_Topological-sort_topological-sort-1_stripped	13	15	40
O3_rosetta_v06_00973_Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors_numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors_stripped	10	11	11
O3_rosetta_v06_00262_Combinations_combinations-2_stripped	10	5	18
O3_rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped	11	11	25
O3_rosetta_v06_00141_Best-shuffle_best-shuffle-1_stripped	11	23	30
O3_rosetta_v06_00995_Ordered-words_ordered-words-3_stripped	11	19	11
O3_rosetta_v06_01564_Verify-distribution-uniformity-Naive_verify-distribution-uniformity-naive_stripped	9	12	24
O3_rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped	10	7	5
O3_rosetta_v06_00118_Averages-Mean-angle_averages-mean-angle_stripped	0	21	14
O3_rosetta_v06_00629_Guess-the-number_guess-the-number_stripped	8	14	3
O3_rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped	0	21	10
O3_rosetta_v06_00001_100-doors_100-doors-1_stripped	8	6	5
O3_rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped	15	5	21
O3_rosetta_v06_00330_Create-a-two-dimensional-array-at-runtime_create-a-two-dimensional-array-at-runtime-1_stripped	8	8	3
O3_rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped	11	19	19
O3_rosetta_v06_01480_Text-processing-Max-licenses-in-use_text-processing-max-licenses-in-use-2_stripped	8	25	4
O3_rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii_stripped	8	6	2
O3_rosetta_v06_01532_Unprimeable-numbers_unprimeable-numbers_stripped	22	22	27
O3_rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped	8	20	4
O3_rosetta_v06_00611_Gotchas_gotchas-8_stripped	0	13	6
O3_rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped	14	9	45
O3_rosetta_v06_00217_Call-an-object-method_call-an-object-method_stripped	10	7	3
O3_rosetta_v06_01039_Pells-equation_pells-equation_stripped	12	7	7
O3_rosetta_v06_00365_Descending-primes_descending-primes_stripped	10	7	14
