version	mode	threshold	MacroP	MacroR	MacroF1
v03	filtered	0.25	0.739	0.906	0.813
v03	filtered	0.30	0.781	0.906	0.836
v03	filtered	0.33	0.781	0.906	0.836
v03	filtered	0.35	0.781	0.906	0.836
v03	filtered	0.40	0.889	0.801	0.839
v03	filtered	0.45	0.909	0.726	0.803
v03	filtered	0.55	0.958	0.587	0.724
v03	raw	0.25	0.739	0.906	0.813
v03	raw	0.30	0.781	0.906	0.836
v03	raw	0.33	0.781	0.906	0.836
v03	raw	0.35	0.781	0.906	0.836
v03	raw	0.40	0.889	0.801	0.839
v03	raw	0.45	0.909	0.726	0.803
v03	raw	0.55	0.958	0.587	0.724
v04	filtered	0.25	0.640	0.906	0.750
v04	filtered	0.30	0.717	0.906	0.800
v04	filtered	0.33	0.781	0.906	0.836
v04	filtered	0.35	0.768	0.842	0.799
v04	filtered	0.40	0.867	0.767	0.813
v04	filtered	0.45	0.933	0.767	0.840
v04	filtered	0.55	0.952	0.482	0.635
v04	raw	0.25	0.640	0.906	0.750
v04	raw	0.30	0.717	0.906	0.800
v04	raw	0.33	0.781	0.906	0.836
v04	raw	0.35	0.768	0.842	0.799
v04	raw	0.40	0.867	0.767	0.813
v04	raw	0.45	0.933	0.767	0.840
v04	raw	0.55	0.952	0.482	0.635
