name	threshold	MacroP	MacroR	MacroF1
summary_thr_v06b_rf_O3_raw_	0.15	0.508	0.908	0.627
summary_thr_v06b_rf_O3_raw_	0.18	0.514	0.907	0.631
summary_thr_v06b_rf_O3_raw_	0.20	0.520	0.906	0.636
summary_thr_v06b_rf_O3_raw_	0.22	0.523	0.906	0.639
summary_thr_v06b_rf_O3_raw_	0.25	0.523	0.903	0.639
summary_thr_v06b_rf_O3_raw_	0.28	0.524	0.901	0.638
summary_thr_v06b_rf_O3_raw_	0.30	0.524	0.901	0.638
summary_thr_v06b_rf_O3_raw_	0.35	0.524	0.900	0.638
summary_thr_v06b_rf_O3_raw_	0.40	0.525	0.899	0.638
summary_thr_v06b_rf_O3_raw_	0.45	0.524	0.898	0.638
summary_thr_v06b_rf_O3_raw_	0.50	0.525	0.898	0.638
summary_thr_v06b_rf_O3_raw_	0.55	0.526	0.897	0.639
